original_address,original___parsed_extra,lat,lon,formatted,housenumber,name,street,district,suburb,postcode,city,confidence_city_level,county,state,confidence_street_level,country,country_code,confidence,attribution,attribution_license,attribution_url
"ÜLLOI ÚT 129.,"" BUDAPEST"",47.4754047,19.09521337616667,""Groupama Aréna, Budapest, Üllői út 129, 1091, Magyarország"",Groupama Aréna,129,Üllői út,IX. kerület,Középső-Ferencváros,1091,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KUCSMA UTCA 7-9.,"" BUDAPEST"",47.5447998,19.0912732,""Budapest, Kucsma utca, 1131, Magyarország"",Kucsma utca,,Kucsma utca,XIII. kerület,Angyalföld,1131,Budapest,,Közép-Magyarország,,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SOMFA UTCA 5/A,"" BUDAPEST"",46.0872596,18.2229596,""Pécs, Somfa utca, 7625, Magyarország"",Somfa utca,,Somfa utca,,Mecsekoldal,7625,Pécs,Baranya vármegye,Dél-Dunántúl,,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ORSZÁGBÍRÓ UTCA 61.,"" BUDAPEST"",47.529868533333335,19.086512566666666,""Budapest, Országbíró utca 61, 1135, Magyarország"",,61,Országbíró utca,XIII. kerület,Angyalföld,1135,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MOÓR JÁNOS UTCA 3-5.,"" GÖDÖLLO"",47.5902827,19.32632675,""QantaScope Hungary, Gödöllő, Moór János utca 3-5, 2100, Magyarország"",QantaScope Hungary,3-5,Moór János utca,,Alvég,2100,Gödöllő,Pest vármegye,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PETREZSELYEM UTCA 2-8.,"" BUDAPEST"",47.5110473,19.0296643,""Budapest, Petrezselyem utca 2-8, 1024, Magyarország"",,2-8,Petrezselyem utca,II. kerület,Országút,1024,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TÁNCSICS MIHÁLY UTCA 1.,"" BALATONFÜRED"",47.5621918,18.9586965,""Budapest, Táncsics Mihály utca 1, 1028, Magyarország"",,1,Táncsics Mihály utca,II. kerület,Széphalom,1028,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MIKES KELEMEN UTCA 502/2,"" BALATONFÜRED"",48.0946985,20.7818454,""Miskolc, Mikes Kelemen utca, 3529, Magyarország"",Mikes Kelemen utca,,Mikes Kelemen utca,,Tampere,3529,Miskolc,Borsod-Abaúj-Zemplén vármegye,Észak-Magyarország,,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TÓTH KÁLMÁN UTCA 2/B MILLPARK B,BUDAPEST,47.473315,19.073505,""Budapest, Tóth Kálmán utca 2, 1097, Magyarország"",,2,Tóth Kálmán utca,,Budapest IX. kerülete,1097,Budapest,Budapest,Közép-Magyarország,,,Magyarország,hu,0.6435483870967742,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"IPARI PARK 034/20,"" FELSOZSOLCA"",47.881893,21.813131,""Ipari park, Magyarország"",,,Ipari park,,,,,,,,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÖLTO UTCA 30.,"" BUDAPEST"",47.4952449,18.9943728,""Budapest, Költő utca 30, 1121, Magyarország"",,30,Költő utca,XII. kerület,Orbánhegy,1121,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VASÚTÁLLOMÁS PERONFELVONÓ,"" EBES"",47.67790685,16.587291937031758,""Vasútállomás, Sopron, Állomás utca 2, 9400, Magyarország"",Vasútállomás,2,Állomás utca,József Attila-lakótelep,Belváros külső,9400,Sopron,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VASÚTÁLLOMÁS PERONFELVONÓ HAJDÚSZOBOSZLÓ,,47.4294497,21.406903820710383,""Vasútállomás, Hajdúszoboszló, Déli sor 2, 4200, Magyarország"",Vasútállomás,2,Déli sor,,,4200,Hajdúszoboszló,Hajdú-Bihar vármegye,Észak-Alföld,1,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VASÚTÁLLOMÁS PERONFELVONÓ,"" HAJDÚSZOBOSZL"",47.67790685,16.587291937031758,""Vasútállomás, Sopron, Állomás utca 2, 9400, Magyarország"",Vasútállomás,2,Állomás utca,József Attila-lakótelep,Belváros külső,9400,Sopron,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VASÚTÁLLOMÁS PERONFELVONÓ,"" KABA"",47.67790685,16.587291937031758,""Vasútállomás, Sopron, Állomás utca 2, 9400, Magyarország"",Vasútállomás,2,Állomás utca,József Attila-lakótelep,Belváros külső,9400,Sopron,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ERZSÉBET KIRÁLYNÉ ÚTJA 72.,"" BUDAPEST"",46.7614712,17.25018445,""Keszthely, Erzsébet királyné útja 72, 8360, Magyarország"",,72,Erzsébet királyné útja,,Helikonliget,8360,Keszthely,Zala vármegye,Nyugat-Dunántúl,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GÖNCÖL UTCA 28-30.,"" BUDAPEST"",47.5448244,19.0798192,""Budapest, Göncöl utca 29, 1139, Magyarország"",,29,Göncöl utca,,Angyalföld,1139,Budapest,Budapest,Közép-Magyarország,,,Magyarország,hu,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FÜRDO UTCA 36.,"" FONYÓD"",48.0064103,21.7320743,""Nyíregyháza, Fürdő utca 36, 4431, Magyarország"",,36,Fürdő utca,Kerti lak,Sóstógyógyfürdő,4431,Nyíregyháza,Szabolcs-Szatmár-Bereg vármegye,Észak-Alföld,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KIRÁLYHÁGÓ TÉR 6-7.,"" BUDAPEST"",47.495683,19.018133,""Budapest, Királyhágó tér 6-7, 1126, Magyarország"",,6-7,Királyhágó tér,,Ofen,1126,Budapest,Budapest,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FUTOHÁZ UTCA 11.,"" SZÉKESFEHÉRVÁR"",47.18355625,19.811076571265218,""Kallo-Plast Kft., Cegléd, Fűtőház utca 11, 2700, Magyarország"",Kallo-Plast Kft.,11,Fűtőház utca,Szűcstelep,,2700,Cegléd,Pest vármegye,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KIKERICS UTCA 13.,"" BUDAPEST"",47.4798624,18.9862156,""Budapest, Kikerics utca 13, 1121, Magyarország"",,13,Kikerics utca,XII. kerület,Magasút,1121,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GELLÉRTHEGY UTCA 7,"" BUDAPEST"",47.4959407,19.03215938820407,""Naphegy12 by Cordia, Budapest, Gellérthegy utca 7, 1016, Magyarország"",Naphegy12 by Cordia,7,Gellérthegy utca,I. kerület,Krisztinaváros,1016,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÁPOSZTÁSMEGYERI ÚT 25.,"" BUDAPEST"",47.5800331,19.0993297,""Budapest, Káposztásmegyeri út 25, 1044, Magyarország"",,25,Káposztásmegyeri út,IV. kerület,Megyer,1044,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"DÓZSA GYÖRGY UTCA 15/A,"" PERKÁTA"",47.39295335,16.5440781178223,""Kőszeg, Dózsa György utca 15/A, 9730, Magyarország"",,15/A,Dózsa György utca,,Német előváros,9730,Kőszeg,Vas vármegye,Nyugat-Dunántúl,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KIRÁLY UTCA 46. 1061,"" BUDAPEST"",47.5014143,19.06146023347471,""Budapest, Király utca 46, 1061, Magyarország"",,46,Király utca,VI. kerület,Terézváros,1061,Budapest,,Közép-Magyarország,1,1,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KOSSUTH UTCA 26./B,"" ZAMÁRDI"",48.1102134,22.7484691,""Tiszacsécse, Kossuth utca, 4947, Magyarország"",Kossuth utca,,Kossuth utca,,,4947,Tiszacsécse,Szabolcs-Szatmár-Bereg vármegye,Észak-Alföld,,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VITORLÁS UTCA 11.,"" SIÓFOK"",46.9642713,17.891576,""Balatonfüred, Vitorlás utca 11, 8230, Magyarország"",,11,Vitorlás utca,,,8230,Balatonfüred,Veszprém,Közép-Dunántúl,,,Magyarország,hu,1,,,"
"KUNIGUNDA ÚTJA 70/A.,"" BUDAPEST"",47.56181,19.03529,""Budapest, Kunigunda útja 70/a, 1037, Magyarország"",,70/a,Kunigunda útja,III. kerület,Kaszásdűlő,1037,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SÓSTÓI ÚT 31/B,"" NYÍREGYHÁZA"",47.9726155,21.7159519,""Nyíregyháza, Sóstói út 31/B, 4400, Magyarország"",,31/B,Sóstói út,Északi alközpont,Jósaváros,4400,Nyíregyháza,Szabolcs-Szatmár-Bereg vármegye,Észak-Alföld,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TOLNAI UTCA 2.,"" PAKS"",46.36375045,18.701298916103255,""Szekszárd, Tolnai Lajos utca 2, 7100, Magyarország"",,2,Tolnai Lajos utca,,Parászta,7100,Szekszárd,Tolna vármegye,Dél-Dunántúl,,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"JÁSZ UTCA 78.,"" BUDAPEST"",47.5363619,19.0863724,""Budapest, Jász utca 78, 1135, Magyarország"",,78,Jász utca,XIII. kerület,Angyalföld,1135,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BOSNYÁK UTCA 23.,"" BUDAPEST"",47.51808509999999,19.113539598903856,""Budapest, Bosnyák utca 23/a, 1145, Magyarország"",,23/a,Bosnyák utca,XIV. kerület,Kiszugló,1145,Budapest,,Közép-Magyarország,,,Magyarország,hu,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BAROSS UTCA 86.,"" BUDAPEST"",47.5735075,19.0889515,""Budapest, Baross utca 86, 1047, Magyarország"",,86,Baross utca,IV. kerület,Újpest,1047,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TÁNCSICS MIHÁLY ÚT 80.,"" GÖDÖLLO"",47.5736838,18.412887562237387,""Tatabánya, Táncsics Mihály út 80, 2800, Magyarország"",,80,Táncsics Mihály út,,Alsógalla,2800,Tatabánya,Komárom-Esztergom vármegye,Közép-Dunántúl,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KOHÍDPART DULO 2.,"" VÁC"",47.80838,19.09917,""CIB Bank ATM, Vác, 2 2, 2600, Magyarország"",CIB Bank ATM,2,2,,Székhegy,2600,Vác,Pest vármegye,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"JÁSZ UTCA 77,"" BUDAPEST"",47.53448305,19.0854859,""Budapest, Jász utca 77, 1135, Magyarország"",,77,Jász utca,XIII. kerület,Angyalföld,1135,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"JÓKAI UTCA 1.,"" BUDAPEST"",47.5058743,19.0609975,""Budapest, Jókai utca 1, 1066, Magyarország"",,1,Jókai utca,VI. kerület,Terézváros,1066,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MÓRICZ ZSIGMOND UTCA 96.,"" SZÁNTÓD"",46.8788748,17.9052837013801,""BalaLand Residence, Szántód, Móricz Zsigmond utca 96, 8622, Magyarország"",BalaLand Residence,96,Móricz Zsigmond utca,,,8622,Szántód,Somogy vármegye,Dél-Dunántúl,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"CSÁNGÓ UTCA 10-12,"" BUDAPEST"",47.5255754,19.067332,""Budapest, Csángó utca 11, 1134, Magyarország"",,11,Csángó utca,,Angyalföld,1134,Budapest,Budapest,Közép-Magyarország,,,Magyarország,hu,0.7,,,"
"ÜSZÖGI-KISERDO UTCA 1.,"" PÉCS"",46.0651343,18.272948,""Pécs, Üszögi-kiserdő utca, 7630, Magyarország"",Üszögi-kiserdő utca,,Üszögi-kiserdő utca,,Üszögpuszta,7630,Pécs,Baranya vármegye,Dél-Dunántúl,,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"CSORTOS GYULA UTCA 1.,"" GYOR"",47.662819400000004,17.66341099310955,""Győr, Csortos Gyula utca 1, 9028, Magyarország"",,1,Csortos Gyula utca,,Szabadhegy,9028,Győr,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PANNON ÚT WÜRTH SZÉKHÁZ,"" TÖRÖKBÁLINT"",47.438779,18.933921,""Budaörs, Pannon út, Magyarország"",,,Pannon út,,,,Budaörs,Pest,Közép-Magyarország,,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FELSO ZÖLDMÁLI ÚT 10.,"" BUDAPEST"",47.528588,19.0244985,""Budapest, Felső Zöldmáli út 10, 1025, Magyarország"",,10,Felső Zöldmáli út,II. kerület,Szemlőhegy,1025,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"EDISON UTCA 5.,"" BUDAÖRS"",47.7778177,19.140753954038466,""Vác, Edison utca 5, 2600, Magyarország"",,5,Edison utca,Földváry Károly-lakótelep,Alsóváros,2600,Vác,Pest vármegye,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FO UTCA 98.,"" BUDAKESZI"",47.78144725,18.969360706342805,""Visegrád, Fő utca 98, 2025, Magyarország"",,98,Fő utca,,Újtelep,2025,Visegrád,Pest vármegye,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"CINKOTAI ÚT 51,"" BUDAPEST"",47.4943628,19.2414776,""Budapest, Cinkotai út 51, 1172, Magyarország"",,51,Cinkotai út,XVII. kerület,Rákosliget,1172,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÉCSI ÚT 68-84,"" BUDAPEST"",47.550658,19.0282536,""Budapest, Bécsi út, 1037, Magyarország"",Bécsi út,,Bécsi út,III. kerület,Óbuda hegyvidéke,1037,Budapest,,Közép-Magyarország,,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FÉNY UTCA 1.,"" PILISSZENTKERESZT"",47.676091549999995,19.06969593885438,""Szentendre, Fény utca 1, 2000, Magyarország"",,1,Fény utca,Füzespark lakótelep,Bükköspart,2000,Szentendre,Pest vármegye,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TÓPARK UTCA 2,"" TÖRÖKBÁLINT"",47.452196150000006,18.902699261887182,""Oekotel, Törökbálint, Tópark utca 2, 2045, Magyarország"",Oekotel,2,Tópark utca,,Tópark,2045,Törökbálint,Pest vármegye,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"CSÁNYI UTCA 5.,"" BUDAPEST"",47.4320501,19.01043145,""Budapest, Csányi utca 5, 1221, Magyarország"",,5,Csányi utca,XXII. kerület,Budafok,1221,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZENT LÁSZLÓ ÚT 5. BUDAPEST,,47.5239005,19.0840528,""Budapest, Szent László út 5, 1135, Magyarország"",,5,Szent László út,XIII. kerület,Angyalföld,1135,Budapest,,Közép-Magyarország,1,1,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZENT LÁSZLÓ ÚT 5.,"" BUDAPEST"",47.5239005,19.0840528,""Budapest, Szent László út 5, 1135, Magyarország"",,5,Szent László út,XIII. kerület,Angyalföld,1135,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÁRD UTCA 5.,"" BUDAPEST"",47.4735,19.07610308200637,""Budapest, Bárd utca 5, 1097, Magyarország"",,5,Bárd utca,IX. kerület,Középső-Ferencváros,1097,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HONVÉD UTCA 53.,"" KAPOSVÁR"",47.5351856,21.6157072,""Debrecen, Honvéd utca 53, 4026, Magyarország"",,53,Honvéd utca,,Mesterfalva,4026,Debrecen,Hajdú-Bihar vármegye,Észak-Alföld,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KVASSAY JENO ÚT-RÁKÓCZI HÍD HRSZ.: 38086,,47.466933,19.077519,""Budapest, Kvassay Jenő út, 1095, Magyarország"",,,Kvassay Jenő út,,Budapest IX. kerülete,1095,Budapest,Budapest,Közép-Magyarország,,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BUDAÖRSI ÚT 121-123.,"" BUDAPEST"",47.4647573,19.0114459,""Budapest, Budaörsi út 122, 1118, Magyarország"",,122,Budaörsi út,,Sasad,1118,Budapest,Budapest,Közép-Magyarország,,,Magyarország,hu,0.7,,,"
"TAVAS UTCA 1/C,"" BUDAPEST"",47.4675639,19.1629683,""Budapest, Tavas utca, 1108, Magyarország"",Tavas utca,,Tavas utca,X. kerület,Újhegy,1108,Budapest,,Közép-Magyarország,,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"LENKEY UTCA 1-3.,"" SOPRON"",47.680967,16.587897,""Soproni Egészségügyi Központ, Sopron, Lenkey utca 1-3, 9400, Magyarország"",Soproni Egészségügyi Központ,1-3,Lenkey utca,Kőfaragó téri lakótelep,Belváros külső,9400,Sopron,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÁRPÁT UTCA 25-27.,"" BUDAPEST"",47.5242414,19.0565469,""Budapest, Kárpát utca 25-27, 1133, Magyarország"",,25-27,Kárpát utca,XIII. kerület,Újlipótváros,1133,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KASSÁK LAJOS UTCA 17.,"" BUDAPEST"",47.519823,19.0636579,""Budapest, Kassák Lajos utca 17, 1134, Magyarország"",,17,Kassák Lajos utca,XIII. kerület,Angyalföld,1134,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VISEGRÁDI KÖZ 4.,"" BUDAPEST"",47.5275187,19.0631954,""Budapest, Visegrádi köz 2-4, 1133, Magyarország"",,2-4,Visegrádi köz,XIII. kerület,Vizafogó,1133,Budapest,,Közép-Magyarország,,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ÜTEG UTCA 30.,"" BUDAPEST"",47.5319027,19.0785627,""Budapest, Üteg utca 30, 1139, Magyarország"",,30,Üteg utca,XIII. kerület,Angyalföld,1139,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PÁPAI ISTVÁN UTCA 5.,"" BUDAPEST"",47.4743342,19.0725362,""Budapest, Pápay István utca 5, 1097, Magyarország"",,5,Pápay István utca,IX. kerület,Középső-Ferencváros,1097,Budapest,,Közép-Magyarország,,,Magyarország,hu,0.7200000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"CSÁNGÓ UTCA 15.,"" BADACSONYTOMAJ"",47.5252507,19.068389,""Budapest, Csángó utca 15, 1134, Magyarország"",,15,Csángó utca,XIII. kerület,Angyalföld,1134,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"IPARI PARK HRSZ.: 260/1.,"" DEBRECEN"",47.9033017,21.7260036,""Ipari park, Nyíregyháza, Északi 1. utca, 4400, Magyarország"",Ipari park,,Északi 1. utca,,Déli Ipari park,4400,Nyíregyháza,Szabolcs-Szatmár-Bereg vármegye,Észak-Alföld,,,Magyarország,hu,0.33333333333333337,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PERÉNYI ÚT 20/B,"" BUDAPEST"",47.543943,19.0229081,""Budapest, Perényi út, 1037, Magyarország"",Perényi út,,Perényi út,III. kerület,Óbuda hegyvidéke,1037,Budapest,,Közép-Magyarország,,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SAN MARCO UTCA 66.,"" BUDAPEST"",47.539795100000006,19.033905351611168,""Budapest, San Marco utca 66, 1032, Magyarország"",,66,San Marco utca,III. kerület,Óbuda,1032,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ÁRPÁD ÚT 47-49.,"" BUDAPEST"",47.8222772,19.0326847,""Verőce, Árpád út 48, Magyarország"",,48,Árpád út,,,,Verőce,Pest,Közép-Magyarország,,,Magyarország,hu,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"DÓZSA GYÖRGY ÚT 18-24.,"" BUDAPEST"",47.503283,19.0894144,""VII. kerületi kapitányság, Budapest, Dózsa György út 18-24, 1071, Magyarország"",VII. kerületi kapitányság,18-24,Dózsa György út,VII. kerület,Erzsébetváros,1071,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZINYEI MERSE PÁL UTCA 4.,"" BUDAPEST"",47.2272969,16.6117948,""Szombathely, Szinyei Merse Pál utca 4, 9700, Magyarország"",,4,Szinyei Merse Pál utca,Öntöde,Óperint,9700,Szombathely,Vas vármegye,Nyugat-Dunántúl,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
TÖRÖK FLÓRIS UTCA 78-82.
"FO UTCA 70-74. (GYORSKOCSI UTCA 31.),,47.49875315,16.78980729839607,""Lövő, Fő utca 70, 9461, Magyarország"",,70,Fő utca,,,9461,Lövő,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,,Magyarország,hu,0.675,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÓMER F. UTCA 6-8.,"" BUDAPEST"",47.086709,17.924565,""Veszprém, Rómer Flóris utca 6, 8200, Magyarország"",,6,Rómer Flóris utca,,,8200,Veszprém,Veszprém,Közép-Dunántúl,,,Magyarország,hu,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TÍMÁR UTCA 9/A.,"" BUDAPEST"",47.5348652,19.0413455,""Budapest, Tímár utca 9/a, 1036, Magyarország"",,9/a,Tímár utca,III. kerület,Óbuda,1036,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÍG UTCA 36.,"" BUDAPEST"",47.462515350000004,18.945931196526615,""Budaörs, Víg utca 36, 2040, Magyarország"",,36,Víg utca,,Ófalu,2040,Budaörs,Pest vármegye,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TOLNAI L. UTCA 41-43.,"" BUDAPEST"",47.6078283,18.9306005,""Pilisvörösvár, Völgy utca 41, 2085, Magyarország"",,41,Völgy utca,,,2085,Pilisvörösvár,Pest vármegye,Közép-Magyarország,,,Magyarország,hu,0.5670000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TAGLÓ UTCA 1-3.,"" BUDAPEST"",47.4606729,19.0822599,""Budapest, Tagló utca, 1095, Magyarország"",Tagló utca,,Tagló utca,IX. kerület,Külső-Ferencváros,1095,Budapest,,Közép-Magyarország,,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GARAM UTCA 19.,"" BUDAPEST"",47.5212771,19.0573103,""Budapest, Garam utca 19, 1133, Magyarország"",,19,Garam utca,XIII. kerület,Újlipótváros,1133,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FOGARASI ÚT 28-54.,"" BUDAPEST"",47.5057846,19.1207497,""Budapest, Fogarasi út 28-54, 1148, Magyarország"",,28-54,Fogarasi út,XIV. kerület,Törökőr,1148,Budapest,,Közép-Magyarország,,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ADY E. ÚT 29.,"" BUDAPEST"",47.68282,16.570057,""Sopron, Ady Endre út 12/E, 9400, Magyarország"",,12/E,Ady Endre út,,,9400,Sopron,Győr-Moson-Sopron,Nyugat-Dunántúl,,,Magyarország,hu,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BAKAY NÁNDOR U.-HUSZÁR U.-RIGÓ U.-MURA U,,48.17145,20.769762,""Sajókeresztúr, Petőfi u., Magyarország"",,,Petőfi u.,,,,Sajókeresztúr,Borsod-Abaúj-Zemplén,Észak-Magyarország,,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
